ALTER TABLE
UPDATE 529
 source | target | edge |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          the_geom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
    178 |    172 |  284 | 0102000020E61000000200000099E1F54F263552402A73F38DE81A3340D43B269C27355240DBB5CE09EB1A3340
    105 |    172 |  286 | 0102000020E610000002000000AA07718A33355240445266DE051B3340D43B269C27355240DBB5CE09EB1A3340
    126 |    105 |  173 | 0102000020E610000002000000539275383A3552406D86657D141B3340AA07718A33355240445266DE051B3340
    126 |    130 |  211 | 0102000020E610000002000000539275383A3552406D86657D141B33406C25749744355240FC5AF2D3131B3340
    130 |    133 |  216 | 0102000020E6100000020000006C25749744355240FC5AF2D3131B33401FC253234F35524061B0D128131B3340
    133 |    102 |  168 | 0102000020E6100000020000001FC253234F35524061B0D128131B3340EA3B646F4E35524004A1061DBE1A3340
    110 |    102 |  169 | 0102000020E6100000020000000C546B065D3552404B958334BE1A3340EA3B646F4E35524004A1061DBE1A3340
    144 |    110 |  183 | 0102000020E6100000020000002EF944436B3552409389004CBE1A33400C546B065D3552404B958334BE1A3340
    143 |    144 |  235 | 0102000020E6100000020000007C8560B0763552405D00755EBE1A33402EF944436B3552409389004CBE1A3340
    142 |    143 |  232 | 0102000020E610000002000000C9C9C4AD823552402DEC6987BF1A33407C8560B0763552405D00755EBE1A3340
     35 |    142 |  231 | 0102000020E61000000200000040BE840A8E3552403E6BC889C01A3340C9C9C4AD823552402DEC6987BF1A3340
    159 |     35 |   59 | 0102000020E610000002000000B73066A68F3552409E4B27C8BE1A334040BE840A8E3552403E6BC889C01A3340
    102 |    104 |  172 | 0102000020E610000003000000EA3B646F4E35524004A1061DBE1A33407B336ABE4A35524080A20D1BC01A33403C2872D245355240A224C918C41A3340
    104 |    202 |  329 | 0102000020E6100000030000003C2872D245355240A224C918C41A33401236977645355240D915E934C11A33404247061445355240FAEA4F87BA1A3340
    202 |    201 |  327 | 0102000020E61000000A0000004247061445355240FAEA4F87BA1A334047D0F302473552407EE94889B81A334017D3F13D4835524091BCCEE1B51A33408152FEFF4935524086E63A8DB41A3340B64B1B0E4B3552407B10A738B31A3340864E19494C355240F3380CE6AF1A3340EB44381C4C355240F05F6A95AA1A3340BB61DBA24C35524066AF2DF2A11A3340864E19494C35524062D68BA19C1A33402058FA754C355240514EB4AB901A3340
    202 |    266 |  405 | 0102000020E6100000020000004247061445355240FAEA4F87BA1A334072721AFD433552404DE03197AF1A3340
    266 |    200 |  325 | 0102000020E61000000500000072721AFD433552404DE03197AF1A334001D1DDBF433552408A3265F1AC1A3340C0E14F9E43355240C1DBCD9DAA1A3340B492567C433552405645B8C9A81A33408AFC9F68433552403ADC589AA51A3340
    199 |    200 |  326 | 0102000020E610000005000000649E4B2748355240285481A4991A33405F888B9246355240342A15F99A1A3340F47BAC2A4535524020578FA09D1A33405A8C7049443552404DAFDEF2A21A33408AFC9F68433552403ADC589AA51A3340
    102 |    165 |  272 | 0102000020E610000002000000EA3B646F4E35524004A1061DBE1A334019051C9D4E355240AD60657E7F1A3340
    164 |    165 |  271 | 0102000020E6100000020000006AC8D34D3D355240C33DE0CB8E1A334019051C9D4E355240AD60657E7F1A3340
    268 |    164 |  269 | 0102000020E610000002000000025B6FE53635524007BE58CE941A33406AC8D34D3D355240C33DE0CB8E1A3340
    177 |    268 |  410 | 0102000020E6100000020000005559CAE83635524046C0D7C68E1A3340025B6FE53635524007BE58CE941A3340
    268 |    315 |  476 | 0102000020E610000003000000025B6FE53635524007BE58CE941A33401A9D3DE136355240045EC1919B1A3340264BF784363552401BF67B629D1A3340
    171 |    315 |  477 | 0102000020E610000002000000B48C79C237355240073763E2A01A3340264BF784363552401BF67B629D1A3340
    165 |    317 |  481 | 0102000020E61000000200000019051C9D4E355240AD60657E7F1A33405B536A404E35524027A9A7EA791A3340
    236 |    317 |  480 | 0102000020E610000002000000711C78B55C355240FE405EB46C1A33405B536A404E35524027A9A7EA791A3340
    236 |    166 |  273 | 0102000020E610000002000000711C78B55C355240FE405EB46C1A33404D88145E5D35524007D7378B721A3340
